"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"KTKBANK","EQ","22-Oct-2024","216.83","216.83","217.87","211.20","214.41","214.02","214.05","14,77,308","31,62,12,205.64","32,040","9,06,874","61.39"
"KTKBANK","EQ","23-Oct-2024","214.02","216.00","217.06","209.25","215.80","214.58","213.50","12,70,336","27,12,22,961.49","35,282","6,46,283","50.87"
"KTKBANK","EQ","24-Oct-2024","214.58","212.00","212.00","206.50","208.90","208.80","208.80","17,87,306","37,31,81,178.53","44,352","9,04,708","50.62"
"KTKBANK","EQ","25-Oct-2024","208.80","209.49","210.98","201.44","202.70","202.39","203.40","16,28,417","33,12,15,313.30","47,041","9,12,971","56.06"
"KTKBANK","EQ","28-Oct-2024","202.39","203.00","204.09","200.15","200.90","200.94","202.00","13,53,734","27,34,58,233.81","30,414","7,42,057","54.82"
"KTKBANK","EQ","29-Oct-2024","200.94","202.89","208.29","200.25","206.15","206.73","203.93","11,12,470","22,68,64,049.09","23,713","5,30,511","47.69"
"KTKBANK","EQ","30-Oct-2024","206.73","207.00","214.60","205.86","213.11","213.07","212.07","11,95,044","25,34,30,987.09","20,991","5,08,401","42.54"
"KTKBANK","EQ","31-Oct-2024","213.07","213.70","217.90","212.22","216.48","217.03","215.31","6,62,368","14,26,13,283.96","14,181","3,29,338","49.72"
"KTKBANK","EQ","01-Nov-2024","217.03","217.20","219.85","217.20","218.89","218.96","219.02","2,32,166","5,08,48,060.39","5,856","1,66,297","71.63"
"KTKBANK","EQ","04-Nov-2024","218.96","220.74","220.74","211.95","216.00","215.57","215.13","10,12,994","21,79,22,710.24","21,390","5,52,429","54.53"
